filename,width,height,xmin,ymin,xmax,ymax
0_aug0.jpg,617,1024,341,686,445,805
0_aug1.jpg,617,1024,139,722,250,850
0_aug2.jpg,617,1024,172,686,275,805
0_aug3.jpg,617,1024,245,718,383,866
1_aug0.jpg,442,442,263,235,300,278
1_aug1.jpg,442,442,262,234,300,278
1_aug2.jpg,442,442,136,225,185,279
1_aug3.jpg,442,442,239,264,282,312
10_aug0.jpg,800,531,291,225,352,309
10_aug1.jpg,800,531,394,210,475,308
10_aug2.jpg,800,531,489,195,552,285
10_aug3.jpg,800,531,448,225,508,309
100_aug0.jpg,347,751,92,379,172,507
100_aug1.jpg,347,751,160,389,274,536
100_aug2.jpg,347,751,92,378,171,506
100_aug3.jpg,347,751,133,397,244,548
101_aug0.jpg,580,951,467,556,536,650
101_aug1.jpg,580,951,18,516,113,630
101_aug2.jpg,580,951,109,575,210,694
101_aug3.jpg,580,951,58,543,148,655
102_aug0.jpg,698,1024,130,535,230,652
102_aug1.jpg,698,1024,86,561,206,683
102_aug2.jpg,698,1024,130,535,230,652
102_aug3.jpg,698,1024,130,535,230,652
103_aug0.jpg,198,332,83,212,111,250
103_aug1.jpg,198,332,49,207,88,250
103_aug2.jpg,198,332,62,211,100,256
103_aug3.jpg,198,332,64,225,97,267
104_aug0.jpg,258,626,48,265,150,367
104_aug1.jpg,258,626,39,237,163,354
104_aug2.jpg,258,626,108,264,210,367
104_aug3.jpg,258,626,108,264,210,367
105_aug0.jpg,477,716,303,469,357,540
105_aug1.jpg,477,716,84,438,152,514
105_aug2.jpg,477,716,160,479,228,557
105_aug3.jpg,477,716,97,502,153,580
106_aug0.jpg,527,752,349,492,405,560
106_aug1.jpg,527,752,192,509,270,595
106_aug2.jpg,527,752,288,516,363,598
106_aug3.jpg,527,752,358,477,434,563
107_aug0.jpg,285,380,191,193,218,227
107_aug0.jpg,285,380,215,210,244,242
107_aug1.jpg,285,380,190,193,218,226
107_aug1.jpg,285,380,214,209,244,242
107_aug2.jpg,285,380,68,176,104,215
107_aug2.jpg,285,380,38,185,75,222
107_aug3.jpg,285,380,190,193,218,226
107_aug3.jpg,285,380,214,209,244,242
108_aug0.jpg,697,1024,491,579,561,674
108_aug1.jpg,697,1024,490,579,561,674
108_aug2.jpg,697,1024,76,500,170,611
108_aug3.jpg,697,1024,187,617,280,729
109_aug0.jpg,759,1024,349,776,398,840
109_aug1.jpg,759,1024,301,719,352,781
109_aug2.jpg,759,1024,348,776,398,840
109_aug3.jpg,759,1024,387,770,440,837
11_aug0.jpg,697,1024,479,578,568,685
11_aug1.jpg,1024,697,578,129,685,217
11_aug2.jpg,697,1024,129,578,217,685
11_aug3.jpg,697,1024,109,604,201,712
110_aug0.jpg,227,380,78,164,139,271
110_aug1.jpg,227,380,82,154,156,273
110_aug2.jpg,227,380,88,163,148,270
110_aug3.jpg,227,380,59,134,155,259
111_aug0.jpg,226,299,80,132,133,219
111_aug1.jpg,226,299,93,132,146,219
111_aug2.jpg,226,299,74,124,155,221
111_aug3.jpg,226,299,93,132,146,219
112_aug0.jpg,226,296,26,171,62,209
112_aug1.jpg,226,296,20,128,66,178
112_aug2.jpg,226,296,26,170,61,209
112_aug3.jpg,226,296,164,170,199,209
113_aug0.jpg,228,302,74,155,111,219
113_aug0.jpg,228,302,110,147,147,220
113_aug1.jpg,228,302,68,138,111,203
113_aug1.jpg,228,302,103,134,148,207
113_aug2.jpg,228,302,89,149,144,220
113_aug2.jpg,228,302,119,130,176,209
113_aug3.jpg,228,302,123,149,163,215
113_aug3.jpg,228,302,88,144,129,218
114_aug0.jpg,377,327,32,133,102,236
114_aug0.jpg,377,327,237,116,346,238
114_aug1.jpg,377,327,31,132,101,235
114_aug1.jpg,377,327,236,115,345,237
114_aug2.jpg,377,327,275,132,345,235
114_aug2.jpg,377,327,31,115,140,237
114_aug3.jpg,377,327,31,132,101,235
114_aug3.jpg,377,327,236,115,345,237
115_aug0.jpg,175,320,31,125,78,219
115_aug0.jpg,175,320,101,123,157,218
115_aug1.jpg,175,320,79,124,151,226
115_aug1.jpg,175,320,3,143,84,248
115_aug2.jpg,175,320,25,107,85,211
115_aug2.jpg,175,320,93,115,162,222
115_aug3.jpg,175,320,92,118,155,220
115_aug3.jpg,175,320,12,128,84,232
116_aug0.jpg,290,350,124,28,155,55
116_aug0.jpg,290,350,73,34,105,58
116_aug1.jpg,290,350,134,27,166,55
116_aug1.jpg,290,350,185,34,217,57
116_aug2.jpg,290,350,67,27,104,64
116_aug2.jpg,290,350,25,50,62,85
116_aug3.jpg,290,350,87,50,124,84
116_aug3.jpg,290,350,43,73,80,105
117_aug0.jpg,800,1093,324,701,419,789
117_aug1.jpg,800,1093,334,667,453,778
117_aug2.jpg,800,1093,324,701,419,789
117_aug3.jpg,800,1093,380,701,475,789
118_aug0.jpg,170,450,79,271,128,328
118_aug1.jpg,170,450,66,290,122,350
118_aug2.jpg,170,450,38,262,89,319
118_aug3.jpg,170,450,41,270,90,327
119_aug0.jpg,206,450,74,262,130,319
119_aug1.jpg,206,450,46,260,110,329
119_aug2.jpg,206,450,74,262,129,318
119_aug3.jpg,206,450,30,262,107,335
12_aug0.jpg,380,630,285,328,342,401
12_aug1.jpg,380,630,285,328,341,400
12_aug2.jpg,380,630,38,328,95,400
12_aug3.jpg,380,630,261,332,334,413
120_aug0.jpg,265,377,199,195,241,242
120_aug1.jpg,377,265,194,24,242,65
120_aug2.jpg,265,377,24,194,65,242
120_aug3.jpg,265,377,199,194,240,242
121_aug0.jpg,480,1024,296,174,363,257
121_aug1.jpg,480,1024,116,174,183,257
121_aug2.jpg,480,1024,296,174,363,257
121_aug3.jpg,480,1024,116,174,183,257
122_aug0.jpg,824,1199,521,615,598,853
122_aug1.jpg,824,1199,520,614,597,853
122_aug2.jpg,824,1199,246,673,368,922
122_aug3.jpg,824,1199,520,614,597,853
123_aug0.jpg,422,746,292,262,329,370
123_aug1.jpg,422,746,107,265,153,368
123_aug2.jpg,422,746,268,243,334,362
123_aug3.jpg,422,746,93,261,130,370
124_aug0.jpg,538,658,379,446,429,513
124_aug1.jpg,538,658,379,482,434,556
124_aug2.jpg,538,658,379,446,429,512
124_aug3.jpg,538,658,379,446,429,512
